#,ID,Title,Authors,Year,Source.title..Please..make.sure.to.enter.this.correctly..we.needed.to.check.if.it.belongs.to.predatory.journals.,Volume,Issue,Art_No,Page_start,Page_end,Page_count,Cited_by,DOI,Link,Exclusion_reason
1,1,"Just eat peas and dance: field peas (vigna unguiculata) and food security in the ozark highlands, u.s.",Campbell B.C.,2014,Journal of Ethnobiology,34,1,NA,104,122,NA,NA,10.2993/0278-0771-34.1.104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897690218&doi=10.2993%2f0278-0771-34.1.104&partnerID=40&md5=b4d957fb5d0205ffa08d41bc6ff11258,Irrelevant 
2,2,Ecological approaches to human nutrition,"DeClerck F.A.J., Jessica F., Cheryl P., Roseline R.",2011,Food and Nutrition Bulletin,32,1,NA,S41,S50,NA,42,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959437193&partnerID=40&md5=e93d97c3ab4434bbd53092ef729e0b41,Irrelevant 
3,3,Field testing of plant genetic diversity indicators for nutrition surveys: rice-based diet of rural bangladesh as a model,"Kennedy G., Islam O., Eyzaguirre P., Kennedy S.",2005,Journal of Food Composition and Analysis,18,4,NA,255,268,NA,13,10.1016/j.jfca.2004.10.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-12144249928&doi=10.1016%2fj.jfca.2004.10.002&partnerID=40&md5=35b0afda762ce0403cac0469298e827c,Irrelevant 
4,4,Diversity and use of wild and non-cultivated edible plants in the western himalaya,"Aryal K.P., Poudel S., Chaudhary R.P., Chettri N., Chaudhary P., Ning W., Kotru R.",2018,Journal of Ethnobiology and Ethnomedicine,14,1,10,NA,NA,NA,3,10.1186/s13002-018-0211-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041187342&doi=10.1186%2fs13002-018-0211-1&partnerID=40&md5=22e79e82fe75bb17670a845be01de1f1,Irrelevant 
5,5,"Perception and attitude of pastoralists on livestock-wildlife interactions around awash national park, ethiopia: implication for biodiversity conservation","Biru Y., Tessema Z.K., Urge M.",2017,Ecological Processes,6,1,13,NA,NA,NA,NA,10.1186/s13717-017-0081-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043752681&doi=10.1186%2fs13717-017-0081-9&partnerID=40&md5=88b4e6d976b9b793ee3ce3ac64dbc6e1,Irrelevant 
6,6,A bottom-up approach to map land covers as potential green infrastructure hubs for human well-being in rural settings: a case study from sweden,"Elbakidze M., Angelstam P., Yamelynets T., Dawson L., Gebrehiwot M., Stryamets N., Johansson K.-E., Garrido P., Naumov V., Manton M.",2017,Landscape and Urban Planning,168,NA,NA,72,83,NA,3,10.1016/j.landurbplan.2017.09.031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042179822&doi=10.1016%2fj.landurbplan.2017.09.031&partnerID=40&md5=eb41d562308cde4e7a777e63bccb9112,Irrelevant 
7,7,Effects of scattered acacia tortilis (forssk) hayne on soil properties in different land uses in central rift valley of ethiopia,Tiruneh Asaye Z.,2017,Journal of Sustainable Forestry,36,2,NA,164,176,NA,2,10.1080/10549811.2016.1270835,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008343485&doi=10.1080%2f10549811.2016.1270835&partnerID=40&md5=c433b4c08f40b653dce21e2fc8261e97,Irrelevant 
8,8,How can high-biodiversity coffee make it to the mainstream market? the performativity of voluntary sustainability standards and outcomes for coffee diversification,"SolÈr C., Sandstrˆm C., Skoog H.",2017,Environmental Management,59,2,NA,230,248,NA,2,10.1007/s00267-016-0786-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994716156&doi=10.1007%2fs00267-016-0786-z&partnerID=40&md5=36fee721a2a9ddac1c33d59296bad68b,Not compare biodiversity
9,9,Making the best of both worlds: can high-resolution agricultural administrative data support the assessment of high nature value farmlands across europe?,"Lomba A., Strohbach M., Jerrentrup J.S., Dauber J., Klimek S., McCracken D.I.",2017,Ecological Indicators,72,NA,NA,118,130,NA,12,10.1016/j.ecolind.2016.08.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981545203&doi=10.1016%2fj.ecolind.2016.08.008&partnerID=40&md5=1fa8a90b964cb8d79d936b333176eca0,Irrelevant 
10,10,Global urban agriculture,WinklerPrins A.M.G.A.,2017,Global Urban Agriculture,NA,NA,NA,NA,NA,255,3,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034397048&partnerID=40&md5=d1d8026dfabf5435ac3c4b88c95e8715,Irrelevant 
